"Prvdr_id","PSI_4_SURG_COMP","PSI_4_SURG_COMP_F","PSI_6_IAT_PTX","PSI_6_IAT_PTX_F","PSI_11_POSTOP_RESPFAIL","PSI_11_POSTOP_RESPFAIL_F","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_F","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_F","PSI_15_ACC_LAC","PSI_15_ACC_LAC_F","PSI_90_SAFETY","PSI_90_SAFETY_F","IQI_11_AAA","IQI_11_AAA_F","IQI_19_HIP_FX","IQI_19_HIP_FX_F","IQI_91_CONDS","IQI_91_CONDS_F","PSI_4_SURG_COMP_NUM_DC","PSI_4_SURG_COMP_RATE","PSI_4_SURG_COMP_LOW_EST","PSI_4_SURG_COMP_HIGH_EST","PSI_6_IAT_PTX_NUM_DC","PSI_6_IAT_PTX_RATE","PSI_6_IAT_PTX_LOW_EST","PSI_6_IAT_PTX_HIGH_EST","PSI_11_POSTOP_RESPFAIL_NUM_DC","PSI_11_POSTOP_RESPFAIL__RATE","PSI_11_POSTOP_RESPFAIL_LOW_EST","PSI_11_POSTOP_RESPFAIL_HIGH_EST","PSI_12_POSTOP_PULMEMB_DVT_NUM_DC","PSI_12_POSTOP_PULMEMB_DVT_RATE","PSI_12_POSTOP_PULMEMB_DVT_LOW_EST","PSI_12_POSTOP_PULMEMB_DVT_HIGH_EST","PSI_14_POSTOP_DEHIS_NUM_DC","PSI_14_POSTOP_DEHIS_RATE","PSI_14_POSTOP_DEHIS_LOW_EST","PSI_14_POSTOP_DEHIS_HIGH_EST","PSI_15_ACC_LAC_NUM_DC","PSI_15_ACC_LAC_RATE","PSI_15_ACC_LAC_LOW_EST","PSI_15_ACC_LAC_HIGH_EST","PSI_90_SAFETY_NUM_DC","PSI_90_SAFETY_RATE","PSI_90_SAFETY_LOW_EST","PSI_90_SAFETY_HIGH_EST","IQI_11_AAA_NUM_DC","IQI_11_AAA_RATE","IQI_11_AAA_LOW_EST","IQI_11_AAA_HIGH_EST","IQI_19_HIP_FX_NUM_DC","IQI_19_HIP_FX_RATE","IQI_19_HIP_FX_LOW_EST","IQI_19_HIP_FX_HIGH_EST","IQI_91_CONDS_NUM_DC","IQI_91_CONDS_RATE","IQI_91_CONDS_LOW_EST","IQI_91_CONDS_HIGH_EST"
"330005","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"208","145.47","114.17","176.77","19949","0.52","0.28","0.76","2162","9.91","6.56","13.26","6033","3.96","1.73","6.19","655","2.60","0.80","4.40","20788","2.12","1.39","2.85","Not Available","Not Available","Not Available","Not Available","76","4.45","2.25","6.65","310","3.84","2.57","5.11","Not Available","Not Available","Not Available","Not Available"
"330006","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"20","Not Available","Not Available","Not Available","4307","0.41","0.00","0.84","61","8.00","0.00","17.25","498","7.09","0.52","13.66","54","2.64","0.46","4.82","4423","1.47","0.00","3.27","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","70","3.15","1.50","4.80","Not Available","Not Available","Not Available","Not Available"
"330008","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1082","0.31","0.00","0.84","43","8.94","0.00","18.72","126","6.27","0.00","16.52","22","Not Available","Not Available","Not Available","1149","1.79","0.00","4.34","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","19","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330009","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"25","123.40","68.13","178.67","4529","0.19","0.00","0.60","94","19.94","11.36","28.52","375","3.09","0.00","10.26","53","2.08","0.00","4.26","4675","1.14","0.00","2.92","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","12","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330011","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Better than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"54","84.03","35.36","132.70","7226","0.16","0.00","0.55","855","7.96","2.79","13.13","1528","2.70","0.00","7.13","235","2.22","0.22","4.22","7389","0.90","0.00","2.19","Not Available","Not Available","Not Available","Not Available","16","Not Available","Not Available","Not Available","172","2.78","1.43","4.13","Not Available","Not Available","Not Available","Not Available"
"330013","Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"210","154.97","124.83","185.11","11902","0.22","0.00","0.49","1839","10.03","7.09","12.97","5076","4.72","2.39","7.05","683","1.72","0.00","3.48","12637","1.37","0.61","2.13","Not Available","Not Available","Not Available","Not Available","206","3.28","1.44","5.12","88","2.67","1.30","4.04","Not Available","Not Available","Not Available","Not Available"
"330014","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"43","149.10","100.65","197.55","6202","0.35","0.00","0.70","77","15.17","6.00","24.34","664","5.73","0.00","11.63","105","3.13","0.97","5.29","6412","0.61","0.00","2.10","Not Available","Not Available","Not Available","Not Available","5","Not Available","Not Available","Not Available","95","2.77","1.42","4.12","Not Available","Not Available","Not Available","Not Available"
"330019","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"25","146.03","94.64","197.42","7298","0.31","0.00","0.64","42","11.69","1.91","21.47","836","6.13","0.82","11.44","137","1.96","0.00","4.08","7603","0.83","0.00","2.18","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","97","3.41","1.88","4.94","Not Available","Not Available","Not Available","Not Available"
"330023","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"93","119.35","78.99","159.71","13398","0.40","0.11","0.69","611","7.88","2.74","13.02","2572","3.70","0.31","7.09","462","2.03","0.13","3.93","14383","2.56","1.66","3.46","Not Available","Not Available","Not Available","Not Available","32","5.07","2.46","7.68","149","3.82","2.49","5.15","Not Available","Not Available","Not Available","Not Available"
"330024","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"436","112.52","89.29","135.75","29007","0.48","0.28","0.68","4633","10.36","8.44","12.28","12453","6.74","5.15","8.33","1407","2.15","0.62","3.68","30768","2.86","2.37","3.35","Not Available","Not Available","Not Available","Not Available","126","4.11","1.58","6.64","290","3.55","2.24","4.86","Not Available","Not Available","Not Available","Not Available"
