"prvdr_id","msr_cd","scr"
"050526","HAC_1","0.000"
"050528","HAC_1","0.000"
"050531","HAC_1","0.000"
"050534","HAC_1","0.000"
"050537","HAC_1","0.000"
"050541","HAC_1","0.000"
"050543","HAC_1","0.000"
"050547","HAC_1","0.000"
"050549","HAC_1","0.321"
"050551","HAC_1","0.000"
"050552","HAC_1","0.000"
"050557","HAC_1","0.097"
"050561","HAC_1","0.000"
"050567","HAC_1","0.000"
"050568","HAC_1","0.000"
"050570","HAC_1","0.000"
"050573","HAC_1","0.055"
"050575","HAC_1","0.000"
"050580","HAC_1","0.000"
"050581","HAC_1","0.000"
"050586","HAC_1","0.000"
"050588","HAC_1","0.000"
"050589","HAC_1","0.000"
"050590","HAC_1","0.515"
"050597","HAC_1","0.000"
"050599","HAC_1","0.187"
"050603","HAC_1","0.000"
"050604","HAC_1","0.000"
"050608","HAC_1","0.000"
"050609","HAC_1","0.000"
"050616","HAC_1","0.000"
"050618","HAC_1","0.000"
"050624","HAC_1","0.000"
"050625","HAC_1","0.065"
"050633","HAC_1","0.217"
"050636","HAC_1","0.000"
"050641","HAC_1","0.000"
"050644","HAC_1","0.000"
"050660","HAC_1","N/A"
"050663","HAC_1","0.000"
"050668","HAC_1","0.000"
"050674","HAC_1","0.000"
"050677","HAC_1","0.000"
"050678","HAC_1","0.000"
"050682","HAC_1","0.000"
"050684","HAC_1","0.000"
"050686","HAC_1","0.000"
"050688","HAC_1","0.000"
"050689","HAC_1","0.371"
"050690","HAC_1","0.000"
"050696","HAC_1","0.000"
"050697","HAC_1","6.135"
"050701","HAC_1","0.000"
"050704","HAC_1","0.000"
"050708","HAC_1","0.000"
"050709","HAC_1","0.000"
"050710","HAC_1","0.000"
"050714","HAC_1","0.000"
"050717","HAC_1","0.000"
"050723","HAC_1","0.000"
"050724","HAC_1","0.000"
"050726","HAC_1","0.000"
"050727","HAC_1","0.000"
"050732","HAC_1","0.450"
"050735","HAC_1","0.000"
"050736","HAC_1","0.000"
"050737","HAC_1","0.000"
"050738","HAC_1","0.000"
"050739","HAC_1","0.079"
"050740","HAC_1","0.000"
"050742","HAC_1","0.000"
"050744","HAC_1","0.000"
"050745","HAC_1","0.000"
"050746","HAC_1","0.000"
"050747","HAC_1","0.000"
"050748","HAC_1","0.000"
"050749","HAC_1","0.000"
"050751","HAC_1","0.000"
"050752","HAC_1","0.000"
"050754","HAC_1","0.000"
"050755","HAC_1","0.000"
"050757","HAC_1","0.000"
"050758","HAC_1","0.000"
"050760","HAC_1","0.000"
"050761","HAC_1","0.000"
"050763","HAC_1","0.000"
"050764","HAC_1","0.000"
"050765","HAC_1","0.000"
"050766","HAC_1","0.000"
"050767","HAC_1","N/A"
"050768","HAC_1","N/A"
