"prvdr_id","msr_cd","scr"
"'041314'","HAC_1","Not Available"
"'041316'","HAC_1","Not Available"
"'041317'","HAC_1","Not Available"
"'041318'","HAC_1","Not Available"
"'041319'","HAC_1","Not Available"
"'041320'","HAC_1","Not Available"
"'041321'","HAC_1","Not Available"
"'041322'","HAC_1","Not Available"
"'041323'","HAC_1","Not Available"
"'041324'","HAC_1","Not Available"
"'041326'","HAC_1","Not Available"
"'041327'","HAC_1","Not Available"
"'041328'","HAC_1","Not Available"
"'041329'","HAC_1","Not Available"
"'041330'","HAC_1","Not Available"
"'041331'","HAC_1","Not Available"
"'043300'","HAC_1","Not Available"
"'050002'","HAC_1","0.000"
"'050006'","HAC_1","0.179"
"'050007'","HAC_1","0.000"
"'050008'","HAC_1","0.000"
"'050009'","HAC_1","0.000"
"'050013'","HAC_1","0.000"
"'050014'","HAC_1","0.000"
"'050016'","HAC_1","0.000"
"'050017'","HAC_1","0.000"
"'050018'","HAC_1","0.000"
"'050022'","HAC_1","0.000"
"'050024'","HAC_1","0.000"
"'050025'","HAC_1","0.238"
"'050026'","HAC_1","0.065"
"'050028'","HAC_1","0.000"
"'050030'","HAC_1","0.000"
"'050036'","HAC_1","0.000"
"'050038'","HAC_1","0.000"
"'050039'","HAC_1","0.072"
"'050040'","HAC_1","0.000"
"'050042'","HAC_1","0.000"
"'050043'","HAC_1","0.000"
"'050045'","HAC_1","0.000"
"'050046'","HAC_1","0.000"
"'050047'","HAC_1","0.000"
"'050054'","HAC_1","0.000"
"'050055'","HAC_1","0.000"
"'050056'","HAC_1","0.185"
"'050057'","HAC_1","0.000"
"'050058'","HAC_1","0.000"
"'050060'","HAC_1","0.000"
"'050063'","HAC_1","0.000"
"'050067'","HAC_1","0.000"
"'050069'","HAC_1","0.106"
"'050070'","HAC_1","0.000"
"'050071'","HAC_1","0.000"
"'050072'","HAC_1","0.000"
"'050073'","HAC_1","0.000"
"'050075'","HAC_1","0.000"
"'050076'","HAC_1","0.000"
"'050077'","HAC_1","0.000"
"'050078'","HAC_1","0.294"
"'050079'","HAC_1","0.000"
"'050082'","HAC_1","0.120"
"'050084'","HAC_1","0.148"
"'050089'","HAC_1","0.000"
"'050090'","HAC_1","0.000"
"'050091'","HAC_1","0.000"
"'050093'","HAC_1","0.000"
"'050096'","HAC_1","0.000"
"'050099'","HAC_1","0.000"
"'050100'","HAC_1","0.096"
"'050101'","HAC_1","0.000"
"'050102'","HAC_1","0.000"
"'050103'","HAC_1","0.000"
"'050104'","HAC_1","0.000"
"'050107'","HAC_1","0.000"
"'050108'","HAC_1","0.000"
"'050110'","HAC_1","0.000"
"'050111'","HAC_1","0.000"
"'050112'","HAC_1","0.000"
"'050113'","HAC_1","0.000"
"'050115'","HAC_1","0.000"
"'050116'","HAC_1","0.195"
"'050118'","HAC_1","0.000"
"'050121'","HAC_1","0.000"
"'050122'","HAC_1","0.265"
"'050124'","HAC_1","0.000"
"'050125'","HAC_1","0.000"
"'050126'","HAC_1","0.000"
"'050127'","HAC_1","0.000"
"'050128'","HAC_1","0.196"
"'050129'","HAC_1","0.140"
"'050131'","HAC_1","0.000"
"'050132'","HAC_1","0.000"
"'050133'","HAC_1","0.104"
"'050135'","HAC_1","0.000"
"'050136'","HAC_1","0.000"
"'050137'","HAC_1","0.000"
"'050138'","HAC_1","0.000"
"'050139'","HAC_1","0.000"
"'050140'","HAC_1","0.280"
"'050145'","HAC_1","0.098"
"'050146'","HAC_1","Not Available"
"'050149'","HAC_1","0.000"
"'050150'","HAC_1","0.000"
"'050152'","HAC_1","0.000"
"'050153'","HAC_1","0.000"
"'050158'","HAC_1","0.000"
"'050159'","HAC_1","0.000"
"'050167'","HAC_1","0.000"
"'050168'","HAC_1","0.000"
"'050169'","HAC_1","0.000"
"'050174'","HAC_1","0.000"
"'050179'","HAC_1","0.000"
"'050180'","HAC_1","0.000"
"'050189'","HAC_1","0.000"
"'050191'","HAC_1","0.174"
"'050192'","HAC_1","0.000"
"'050194'","HAC_1","0.000"
"'050195'","HAC_1","0.098"
"'050196'","HAC_1","1.014"
"'050197'","HAC_1","0.000"
"'050204'","HAC_1","0.000"
"'050205'","HAC_1","0.000"
"'050211'","HAC_1","0.000"
"'050222'","HAC_1","0.000"
"'050224'","HAC_1","0.000"
"'050225'","HAC_1","0.000"
"'050226'","HAC_1","0.000"
"'050228'","HAC_1","0.209"
"'050230'","HAC_1","0.000"
"'050231'","HAC_1","0.106"
"'050232'","HAC_1","0.000"
"'050234'","HAC_1","0.000"
"'050235'","HAC_1","0.000"
"'050236'","HAC_1","0.000"
"'050238'","HAC_1","0.087"
"'050239'","HAC_1","0.000"
"'050242'","HAC_1","0.000"
"'050243'","HAC_1","0.000"
"'050245'","HAC_1","0.000"
"'050248'","HAC_1","0.000"
"'050254'","HAC_1","0.000"
"'050257'","HAC_1","0.000"
"'050261'","HAC_1","0.000"
"'050262'","HAC_1","0.157"
"'050272'","HAC_1","0.000"
"'050276'","HAC_1","0.000"
"'050277'","HAC_1","0.000"
"'050278'","HAC_1","0.000"
"'050279'","HAC_1","0.000"
"'050280'","HAC_1","0.000"
"'050281'","HAC_1","0.000"
"'050283'","HAC_1","0.000"
"'050289'","HAC_1","0.000"
"'050290'","HAC_1","0.000"
"'050291'","HAC_1","0.000"
"'050292'","HAC_1","0.000"
"'050295'","HAC_1","0.000"
"'050296'","HAC_1","0.000"
"'050298'","HAC_1","0.000"
"'050300'","HAC_1","0.000"
"'050301'","HAC_1","0.000"
"'050305'","HAC_1","0.000"
"'050308'","HAC_1","0.277"
"'050309'","HAC_1","0.000"
"'050313'","HAC_1","0.000"
"'050315'","HAC_1","0.000"
"'050320'","HAC_1","0.000"
"'050324'","HAC_1","0.000"
"'050327'","HAC_1","0.000"
"'050329'","HAC_1","0.000"
"'050334'","HAC_1","0.113"
"'050335'","HAC_1","0.000"
"'050336'","HAC_1","0.000"
"'050342'","HAC_1","0.000"
"'050348'","HAC_1","0.000"
"'050349'","HAC_1","0.000"
"'050350'","HAC_1","0.000"
"'050351'","HAC_1","0.000"
"'050352'","HAC_1","0.000"
"'050353'","HAC_1","0.000"
"'050357'","HAC_1","0.000"
"'050359'","HAC_1","0.000"
"'050360'","HAC_1","0.126"
"'050367'","HAC_1","0.000"
"'050373'","HAC_1","0.311"
"'050376'","HAC_1","0.000"
"'050378'","HAC_1","0.000"
"'050380'","HAC_1","0.000"
"'050382'","HAC_1","0.088"
"'050385'","HAC_1","0.000"
"'050390'","HAC_1","0.000"
"'050393'","HAC_1","0.000"
"'050394'","HAC_1","0.114"
"'050396'","HAC_1","0.000"
"'050397'","HAC_1","0.000"
"'050407'","HAC_1","0.584"
"'050411'","HAC_1","0.000"
"'050414'","HAC_1","0.000"
"'050417'","HAC_1","0.000"
"'050423'","HAC_1","0.000"
"'050424'","HAC_1","0.000"
"'050425'","HAC_1","0.000"
"'050426'","HAC_1","0.000"
"'050434'","HAC_1","0.000"
"'050435'","HAC_1","0.000"
"'050438'","HAC_1","0.000"
"'050441'","HAC_1","0.000"
"'050444'","HAC_1","0.000"
"'050454'","HAC_1","0.123"
"'050455'","HAC_1","0.000"
"'050457'","HAC_1","0.000"
"'050464'","HAC_1","0.000"
"'050468'","HAC_1","0.000"
"'050471'","HAC_1","0.000"
"'050481'","HAC_1","0.145"
"'050485'","HAC_1","0.000"
"'050488'","HAC_1","0.000"
"'050492'","HAC_1","0.000"
"'050496'","HAC_1","0.000"
"'050498'","HAC_1","0.000"
"'050502'","HAC_1","0.000"
"'050503'","HAC_1","0.190"
"'050506'","HAC_1","0.000"
"'050510'","HAC_1","0.000"
"'050512'","HAC_1","0.000"
"'050515'","HAC_1","0.000"
"'050516'","HAC_1","0.000"
"'050517'","HAC_1","0.000"
"'050523'","HAC_1","0.178"
"'050526'","HAC_1","0.000"
"'050528'","HAC_1","0.000"
"'050534'","HAC_1","0.000"
"'050537'","HAC_1","0.000"
"'050541'","HAC_1","0.000"
"'050543'","HAC_1","0.000"
"'050547'","HAC_1","0.000"
"'050549'","HAC_1","0.181"
"'050551'","HAC_1","0.188"
"'050552'","HAC_1","0.000"
"'050557'","HAC_1","0.000"
"'050561'","HAC_1","0.000"
"'050567'","HAC_1","0.078"
"'050568'","HAC_1","0.000"
"'050570'","HAC_1","0.000"
"'050573'","HAC_1","0.049"
"'050575'","HAC_1","0.000"
"'050580'","HAC_1","0.000"
"'050581'","HAC_1","0.000"
"'050586'","HAC_1","0.000"
"'050588'","HAC_1","0.000"
"'050589'","HAC_1","0.000"
"'050590'","HAC_1","0.000"
"'050597'","HAC_1","0.000"
"'050599'","HAC_1","0.137"
"'050603'","HAC_1","0.000"
"'050604'","HAC_1","0.000"
"'050608'","HAC_1","0.000"
"'050609'","HAC_1","0.000"
"'050616'","HAC_1","0.000"
"'050618'","HAC_1","0.000"
"'050624'","HAC_1","0.000"
"'050625'","HAC_1","0.107"
"'050633'","HAC_1","0.000"
"'050636'","HAC_1","0.000"
"'050641'","HAC_1","0.000"
"'050660'","HAC_1","Not Available"
"'050663'","HAC_1","0.000"
"'050668'","HAC_1","0.000"
"'050674'","HAC_1","0.000"
