"Provider ID","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"030105","SPP_1","0.94",,"01/01/2012","12/31/2012"
"030107","SPP_1","0.94",,"01/01/2012","12/31/2012"
"030108","SPP_1","0.90",,"01/01/2012","12/31/2012"
"030110","SPP_1","0.97",,"01/01/2012","12/31/2012"
"030111","SPP_1","0.98",,"01/01/2012","12/31/2012"
"030112","SPP_1","1.04",,"01/01/2012","12/31/2012"
"030113","SPP_1","0.70",,"01/01/2012","12/31/2012"
"030114","SPP_1","0.93",,"01/01/2012","12/31/2012"
"030115","SPP_1","0.93",,"01/01/2012","12/31/2012"
"030117","SPP_1","0.89",,"01/01/2012","12/31/2012"
"030118","SPP_1","1.00",,"01/01/2012","12/31/2012"
"030119","SPP_1","0.98",,"01/01/2012","12/31/2012"
"030120","SPP_1","0.87",,"01/01/2012","12/31/2012"
"030121","SPP_1","1.01",,"01/01/2012","12/31/2012"
"030122","SPP_1","0.96",,"01/01/2012","12/31/2012"
"030123","SPP_1","0.98",,"01/01/2012","12/31/2012"
"030130","SPP_1","0.88",,"01/01/2012","12/31/2012"
"030131","SPP_1","0.97",,"01/01/2012","12/31/2012"
"030132","SPP_1","0.96",,"01/01/2012","12/31/2012"
"040001","SPP_1","0.93",,"01/01/2012","12/31/2012"
"040002","SPP_1","0.95",,"01/01/2012","12/31/2012"
"040004","SPP_1","1.00",,"01/01/2012","12/31/2012"
"040007","SPP_1","0.97",,"01/01/2012","12/31/2012"
"040010","SPP_1","0.95",,"01/01/2012","12/31/2012"
"040011","SPP_1","0.77",,"01/01/2012","12/31/2012"
"040014","SPP_1","0.99",,"01/01/2012","12/31/2012"
"040015","SPP_1","1.03",,"01/01/2012","12/31/2012"
"040016","SPP_1","0.97",,"01/01/2012","12/31/2012"
"040017","SPP_1","0.91",,"01/01/2012","12/31/2012"
"040018","SPP_1","1.12",,"01/01/2012","12/31/2012"
"040019","SPP_1","0.88",,"01/01/2012","12/31/2012"
"040020","SPP_1","0.96",,"01/01/2012","12/31/2012"
"040022","SPP_1","0.99",,"01/01/2012","12/31/2012"
"040026","SPP_1","0.96",,"01/01/2012","12/31/2012"
"040027","SPP_1","0.97",,"01/01/2012","12/31/2012"
"040029","SPP_1","0.98",,"01/01/2012","12/31/2012"
"040036","SPP_1","0.98",,"01/01/2012","12/31/2012"
"040039","SPP_1","1.04",,"01/01/2012","12/31/2012"
"040041","SPP_1","0.98",,"01/01/2012","12/31/2012"
"040042","SPP_1","1.04",,"01/01/2012","12/31/2012"
"040047","SPP_1","1.06",,"01/01/2012","12/31/2012"
"040050","SPP_1","1.05",,"01/01/2012","12/31/2012"
"040051","SPP_1","1.05",,"01/01/2012","12/31/2012"
"040055","SPP_1","1.04",,"01/01/2012","12/31/2012"
"040062","SPP_1","1.00",,"01/01/2012","12/31/2012"
"040067","SPP_1","1.01",,"01/01/2012","12/31/2012"
"040069","SPP_1","0.89",,"01/01/2012","12/31/2012"
"040071","SPP_1","1.02",,"01/01/2012","12/31/2012"
"040072","SPP_1","0.85",,"01/01/2012","12/31/2012"
"040074","SPP_1","1.26",,"01/01/2012","12/31/2012"
"040076","SPP_1","0.97",,"01/01/2012","12/31/2012"
"040078","SPP_1","1.00",,"01/01/2012","12/31/2012"
"040080","SPP_1","0.95",,"01/01/2012","12/31/2012"
"040084","SPP_1","0.96",,"01/01/2012","12/31/2012"
"040085","SPP_1","0.82",,"01/01/2012","12/31/2012"
