"state","msr_cd","scr","footnote"
"PA","HAI_3_SIR","0.79",""
"PR","HAI_3_SIR","Not Available",""
"RI","HAI_3_SIR","1.24",""
"SC","HAI_3_SIR","1.42",""
"SD","HAI_3_SIR","1.04",""
"TN","HAI_3_SIR","1.12",""
"TX","HAI_3_SIR","0.64",""
"UT","HAI_3_SIR","1.77",""
"VA","HAI_3_SIR","0.68",""
"VI","HAI_3_SIR","Not Available",""
"VT","HAI_3_SIR","1.68",""
"WA","HAI_3_SIR","0.77",""
"WI","HAI_3_SIR","0.69",""
"WV","HAI_3_SIR","1.19",""
"WY","HAI_3_SIR","1.08",""
"AK","HAI_4_SIR","Not Available","5"
"AL","HAI_4_SIR","0.38",""
"AR","HAI_4_SIR","0.59",""
"AZ","HAI_4_SIR","1.56",""
"CA","HAI_4_SIR","0.86",""
"CO","HAI_4_SIR","1.12",""
"CT","HAI_4_SIR","1.46",""
"DC","HAI_4_SIR","1.00",""
"DE","HAI_4_SIR","0.92",""
"FL","HAI_4_SIR","0.91",""
"GA","HAI_4_SIR","0.96",""
"HI","HAI_4_SIR","3.18",""
"IA","HAI_4_SIR","1.76",""
"ID","HAI_4_SIR","0.65",""
"IL","HAI_4_SIR","1.11",""
"IN","HAI_4_SIR","0.96",""
"KS","HAI_4_SIR","0.35",""
"KY","HAI_4_SIR","0.99",""
"LA","HAI_4_SIR","1.20",""
"MA","HAI_4_SIR","0.44",""
"MD","HAI_4_SIR","2.27",""
"ME","HAI_4_SIR","0.75",""
"MI","HAI_4_SIR","1.61",""
"MN","HAI_4_SIR","1.64",""
"MO","HAI_4_SIR","0.67",""
"MS","HAI_4_SIR","0.96",""
"MT","HAI_4_SIR","0.51",""
"NC","HAI_4_SIR","0.90",""
"ND","HAI_4_SIR","1.40",""
"NE","HAI_4_SIR","1.04",""
"NH","HAI_4_SIR","0.54",""
"NJ","HAI_4_SIR","1.10",""
"NM","HAI_4_SIR","0.90",""
"NV","HAI_4_SIR","0.46",""
"NY","HAI_4_SIR","1.19",""
"OH","HAI_4_SIR","1.03",""
"OK","HAI_4_SIR","0.80",""
"OR","HAI_4_SIR","0.28",""
"PA","HAI_4_SIR","0.92",""
"PR","HAI_4_SIR","Not Available",""
"RI","HAI_4_SIR","1.23",""
"SC","HAI_4_SIR","0.99",""
"SD","HAI_4_SIR","1.35",""
"TN","HAI_4_SIR","1.11",""
"TX","HAI_4_SIR","0.75",""
"UT","HAI_4_SIR","1.20",""
"VA","HAI_4_SIR","0.86",""
"VI","HAI_4_SIR","Not Available",""
"VT","HAI_4_SIR","0.00",""
"WA","HAI_4_SIR","0.54",""
"WI","HAI_4_SIR","1.83",""
"WV","HAI_4_SIR","0.72",""
"WY","HAI_4_SIR","0.98",""
