"prvdr_id","scr","msr_cd","ftnt_id"
"100175","1.05","SPP_1",""
"100176","1.09","SPP_1",""
"100177","1.06","SPP_1",""
"100179","1.14","SPP_1",""
"100180","1.11","SPP_1",""
"100181","1.1","SPP_1",""
"100183","1.11","SPP_1",""
"100187","1.14","SPP_1",""
"100189","1.12","SPP_1",""
"100191","1.1","SPP_1",""
"100200","1.06","SPP_1",""
"100204","1","SPP_1",""
"100206","1.05","SPP_1",""
"100209","1","SPP_1",""
"100211","1.03","SPP_1",""
"100212","1.03","SPP_1",""
"100213","1.11","SPP_1",""
"100217","1.01","SPP_1",""
"100220","1.05","SPP_1",""
"100223","1.01","SPP_1",""
"100224","1.15","SPP_1",""
"100226","1.13","SPP_1",""
"100228","1.12","SPP_1",""
"100230","0.98","SPP_1",""
"100231","1.03","SPP_1",""
"100232","1.07","SPP_1",""
"100234","1.17","SPP_1",""
"100236","1.05","SPP_1",""
"100238","1.09","SPP_1",""
"100239","1.07","SPP_1",""
"100240","Not Available","SPP_1","16"
"100242","1.09","SPP_1",""
"100243","1.03","SPP_1",""
"100244","1.03","SPP_1",""
"100246","1.08","SPP_1",""
"100248","1.11","SPP_1",""
"100249","1.07","SPP_1",""
"100252","1.09","SPP_1",""
"100253","1.01","SPP_1",""
"100254","1.09","SPP_1",""
"100255","1.06","SPP_1",""
"100256","1.07","SPP_1",""
"100258","1.13","SPP_1",""
"100259","1.08","SPP_1",""
"100260","1.09","SPP_1",""
"100264","1.05","SPP_1",""
"100265","1.1","SPP_1",""
"100266","1","SPP_1",""
"100267","1.02","SPP_1",""
"100268","1.17","SPP_1",""
"100269","1.1","SPP_1",""
"100275","1.12","SPP_1",""
"100276","1.09","SPP_1",""
"100277","1.13","SPP_1",""
"100281","1.04","SPP_1",""
"100284","1.08","SPP_1",""
"100285","0.96","SPP_1",""
"100286","1.03","SPP_1",""
"100287","1.05","SPP_1",""
"100288","1.1","SPP_1",""
"100289","1","SPP_1",""
"100290","1.02","SPP_1",""
"100291","1.1","SPP_1",""
"100292","1.01","SPP_1",""
"100296","1.07","SPP_1",""
"100299","1.11","SPP_1",""
"100302","1.1","SPP_1",""
"100307","1.09","SPP_1",""
"100313","1.06","SPP_1",""
"100314","1","SPP_1",""
"100315","1.01","SPP_1",""
"100316","1.14","SPP_1",""
"110001","0.95","SPP_1",""
"110002","0.96","SPP_1",""
"110003","1","SPP_1",""
"110004","0.91","SPP_1",""
"110005","0.99","SPP_1",""
"110006","0.92","SPP_1",""
"110007","0.97","SPP_1",""
"110008","1.05","SPP_1",""
"110010","0.94","SPP_1",""
"110011","0.93","SPP_1",""
"110015","0.93","SPP_1",""
"110016","0.93","SPP_1",""
"110018","1","SPP_1",""
"110023","0.93","SPP_1",""
"110024","1.06","SPP_1",""
"110025","0.96","SPP_1",""
"110026","0.9","SPP_1",""
"110027","0.88","SPP_1",""
"110028","0.98","SPP_1",""
"110029","0.91","SPP_1",""
"110030","0.94","SPP_1",""
"110031","1.01","SPP_1",""
"110032","0.99","SPP_1",""
"110034","0.99","SPP_1",""
"110035","0.98","SPP_1",""
"110036","0.97","SPP_1",""
"110038","1.01","SPP_1",""
"110039","1","SPP_1",""
"110040","0.86","SPP_1",""
"110041","0.88","SPP_1",""
"110042","0.85","SPP_1",""
"110043","0.97","SPP_1",""
"110044","0.96","SPP_1",""
"110045","0.89","SPP_1",""
"110046","0.95","SPP_1",""
"110050","0.84","SPP_1",""
"110051","0.82","SPP_1",""
"110054","1","SPP_1",""
"110064","1.07","SPP_1",""
"110069","0.96","SPP_1",""
"110071","0.87","SPP_1",""
"110073","0.93","SPP_1",""
"110074","0.95","SPP_1",""
"110075","0.97","SPP_1",""
"110076","1.03","SPP_1",""
"110078","0.94","SPP_1",""
"110079","0.9","SPP_1",""
"110082","0.96","SPP_1",""
"110083","0.95","SPP_1",""
"110086","0.78","SPP_1",""
"110087","0.99","SPP_1",""
"110089","0.87","SPP_1",""
"110091","0.98","SPP_1",""
"110092","0.99","SPP_1",""
"110095","0.9","SPP_1",""
"110100","0.79","SPP_1",""
"110101","0.8","SPP_1",""
"110104","0.86","SPP_1",""
"110105","0.94","SPP_1",""
"110107","0.96","SPP_1",""
"110109","0.92","SPP_1",""
"110111","0.96","SPP_1",""
"110112","0.94","SPP_1",""
"110113","0.87","SPP_1",""
"110115","0.99","SPP_1",""
"110121","0.94","SPP_1",""
"110122","0.94","SPP_1",""
"110124","0.98","SPP_1",""
"110125","0.96","SPP_1",""
"110128","0.98","SPP_1",""
"110129","1.01","SPP_1",""
"110130","0.9","SPP_1",""
"110132","0.9","SPP_1",""
"110135","0.91","SPP_1",""
"110142","0.76","SPP_1",""
"110143","0.99","SPP_1",""
"110146","0.9","SPP_1",""
"110150","0.96","SPP_1",""
"110153","0.9","SPP_1",""
"110161","1.01","SPP_1",""
"110163","1.03","SPP_1",""
"110164","0.99","SPP_1",""
"110165","1.04","SPP_1",""
"110168","0.95","SPP_1",""
"110177","1","SPP_1",""
"110183","0.99","SPP_1",""
"110184","0.96","SPP_1",""
"110186","1","SPP_1",""
"110187","0.89","SPP_1",""
"110189","0.95","SPP_1",""
"110190","0.94","SPP_1",""
"110191","0.98","SPP_1",""
"110192","1","SPP_1",""
"110194","0.83","SPP_1",""
"110198","1.03","SPP_1",""
"110200","0.96","SPP_1",""
"110201","1","SPP_1",""
"110203","1.09","SPP_1",""
"110205","1.02","SPP_1",""
"110209","1.26","SPP_1",""
"110215","0.96","SPP_1",""
"110219","1.04","SPP_1",""
"110225","0.96","SPP_1",""
"110226","0.96","SPP_1",""
"110229","0.91","SPP_1",""
"110230","0.98","SPP_1",""
"120001","0.86","SPP_1",""
"120002","0.89","SPP_1",""
