"prvdr_id","msr_cd","scr","footnote"
"251323","HAI_3_ELIGCASES","Not Available","5"
"251323","HAI_3_NUMERATOR","Not Available","5"
"251323","HAI_3_PROCDAYS","Not Available","5"
"251323","HAI_3_CI_UPPER",,"5"
"251323","HAI_3_CI_LOWER",,"5"
"251323","HAI_4_SIR","Not Available","5"
"251323","HAI_4_ELIGCASES","Not Available","5"
"251323","HAI_4_NUMERATOR","Not Available","5"
"251323","HAI_4_PROCDAYS","Not Available","5"
"251323","HAI_4_CI_UPPER",,"5"
"251323","HAI_4_CI_LOWER",,"5"
"231328","HAI_1_SIR","Not Available","5"
"231328","HAI_1_ELIGCASES","0.049","5"
"231328","HAI_1_NUMERATOR","0","5"
"231328","HAI_1_DEVICEDAYS","Not Available","4"
"231328","HAI_1_CI_UPPER",,"5"
"231328","HAI_1_CI_LOWER",,"5"
"231328","HAI_2_SIR","Not Available","5"
"231328","HAI_2_ELIGCASES","0.012","5"
"231328","HAI_2_NUMERATOR","0","5"
"231328","HAI_2_DEVICEDAYS","9","5"
"231328","HAI_2_CI_UPPER",,"5"
"231328","HAI_2_CI_LOWER",,"5"
"231328","HAI_3_SIR","Not Available","5"
"231328","HAI_3_ELIGCASES","0.213","5"
"231328","HAI_3_NUMERATOR","1","5"
"231328","HAI_3_PROCDAYS","8","5"
"231328","HAI_3_CI_UPPER",,"5"
"231328","HAI_3_CI_LOWER",,"5"
"231328","HAI_4_SIR","Not Available","5"
"231328","HAI_4_ELIGCASES","0.005","5"
"231328","HAI_4_NUMERATOR","0","5"
"231328","HAI_4_PROCDAYS","1","5"
"231328","HAI_4_CI_UPPER",,"5"
"231328","HAI_4_CI_LOWER",,"5"
"231330","HAI_1_SIR","Not Available","5"
"231330","HAI_1_ELIGCASES","Not Available","5"
"231330","HAI_1_NUMERATOR","Not Available","5"
"231330","HAI_1_DEVICEDAYS","Not Available","4"
"231330","HAI_1_CI_UPPER",,"5"
"231330","HAI_1_CI_LOWER",,"5"
"231330","HAI_2_SIR","Not Available","5"
"231330","HAI_2_ELIGCASES","Not Available","5"
"231330","HAI_2_NUMERATOR","Not Available","5"
"231330","HAI_2_DEVICEDAYS","Not Available","5"
"231330","HAI_2_CI_UPPER",,"5"
"231330","HAI_2_CI_LOWER",,"5"
"231330","HAI_3_SIR","Not Available","5"
"231330","HAI_3_ELIGCASES","Not Available","5"
"231330","HAI_3_NUMERATOR","Not Available","5"
"231330","HAI_3_PROCDAYS","Not Available","5"
"231330","HAI_3_CI_UPPER",,"5"
"231330","HAI_3_CI_LOWER",,"5"
"231330","HAI_4_SIR","Not Available","5"
"231330","HAI_4_ELIGCASES","Not Available","5"
"231330","HAI_4_NUMERATOR","Not Available","5"
