"prvdr_id","msr_cd","scr","footnote"
"MT","OP_18b","127",""
"MT","OP_20","22",""
"MT","OP_21","44",""
"MT","OP_23","13",""
"NC","ED_1b","312",""
"NC","ED_2b","115",""
"NC","OP_18b","155",""
"NC","OP_20","39",""
"NC","OP_21","70",""
"NC","OP_23","48",""
"ND","ED_1b","189",""
"ND","ED_2b","58",""
"ND","OP_18b","114",""
"ND","OP_20","25",""
"ND","OP_21","58",""
"ND","OP_23","40",""
"NE","ED_1b","209",""
"NE","ED_2b","80",""
"NE","OP_18b","108",""
"NE","OP_20","22",""
"NE","OP_21","46",""
"NE","OP_23","88",""
"NH","ED_1b","298",""
"NH","ED_2b","115",""
"NH","OP_18b","148",""
"NH","OP_20","32",""
"NH","OP_21","63",""
"NH","OP_23","39",""
"NJ","ED_1b","355",""
"NJ","ED_2b","143",""
"NJ","OP_18b","149",""
"NJ","OP_20","35",""
"NJ","OP_21","61",""
"NJ","OP_23","56",""
"NM","ED_1b","312",""
"NM","ED_2b","111",""
"NM","OP_18b","158",""
"NM","OP_20","34",""
"NM","OP_21","70",""
"NM","OP_23","32",""
"NV","ED_1b","337",""
"NV","ED_2b","154",""
"NV","OP_18b","160",""
"NV","OP_20","26",""
"NV","OP_21","55",""
"NV","OP_23","38",""
"NY","ED_1b","366",""
"NY","ED_2b","145",""
"NY","OP_18b","155",""
"NY","OP_20","36",""
"NY","OP_21","66",""
"NY","OP_23","45",""
"OH","ED_1b","270",""
"OH","ED_2b","89",""
"OH","OP_18b","136",""
"OH","OP_20","27",""
"OH","OP_21","59",""
"OH","OP_23","47",""
"OK","ED_1b","211",""
"OK","ED_2b","61",""
"OK","OP_18b","112",""
"OK","OP_20","27",""
"OK","OP_21","59",""
"OK","OP_23","42",""
"OR","ED_1b","234",""
"OR","ED_2b","80",""
"OR","OP_18b","138",""
"OR","OP_20","32",""
"OR","OP_21","58",""
"OR","OP_23","46",""
"PA","ED_1b","275",""
"PA","ED_2b","98",""
"PA","OP_18b","135",""
"PA","OP_20","31",""
"PA","OP_21","63",""
"PA","OP_23","47",""
"PR","ED_1b","778",""
"PR","ED_2b","240",""
"PR","OP_18b","Not Available",""
"PR","OP_20","Not Available",""
"PR","OP_21","Not Available",""
"PR","OP_23","Not Available",""
"RI","ED_1b","343",""
"RI","ED_2b","121",""
"RI","OP_18b","167",""
"RI","OP_20","39",""
"RI","OP_21","59",""
"RI","OP_23","40",""
"SC","ED_1b","272",""
"SC","ED_2b","94",""
"SC","OP_18b","137",""
"SC","OP_20","34",""
"SC","OP_21","60",""
"SC","OP_23","53",""
"SD","ED_1b","176",""
"SD","ED_2b","41",""
"SD","OP_18b","113",""
"SD","OP_20","15",""
"SD","OP_21","49",""
"SD","OP_23","35",""
"TN","ED_1b","239",""
"TN","ED_2b","75",""
"TN","OP_18b","133",""
"TN","OP_20","29",""
"TN","OP_21","68",""
"TN","OP_23","40",""
"TX","ED_1b","274",""
"TX","ED_2b","100",""
"TX","OP_18b","135",""
"TX","OP_20","28",""
"TX","OP_21","63",""
"TX","OP_23","41",""
"UT","ED_1b","215",""
"UT","ED_2b","62",""
"UT","OP_18b","125",""
"UT","OP_20","21",""
"UT","OP_21","44",""
"UT","OP_23","57",""
"VA","ED_1b","286",""
"VA","ED_2b","99",""
"VA","OP_18b","150",""
"VA","OP_20","34",""
"VA","OP_21","62",""
"VA","OP_23","40",""
"VI","ED_1b","1025",""
"VI","ED_2b","620",""
"VI","OP_18b","Not Available",""
"VI","OP_20","Not Available",""
"VI","OP_21","Not Available",""
"VI","OP_23","Not Available",""
"VT","ED_1b","295",""
"VT","ED_2b","119",""
"VT","OP_18b","137",""
"VT","OP_20","28",""
"VT","OP_21","72",""
"VT","OP_23","40",""
"WA","ED_1b","260",""
"WA","ED_2b","97",""
"WA","OP_18b","138",""
"WA","OP_20","23",""
"WA","OP_21","54",""
"WA","OP_23","35",""
"WI","ED_1b","204",""
"WI","ED_2b","64",""
"WI","OP_18b","120",""
"WI","OP_20","19",""
"WI","OP_21","41",""
"WI","OP_23","55",""
"WV","ED_1b","268",""
"WV","ED_2b","84",""
"WV","OP_18b","150",""
"WV","OP_20","34",""
"WV","OP_21","78",""
"WV","OP_23","44",""
"WY","ED_1b","216",""
"WY","ED_2b","64",""
"WY","OP_18b","111",""
"WY","OP_20","21",""
"WY","OP_21","39",""
"WY","OP_23","17",""
